Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two
3,Panthers,Dylan Edwards,1,Fullback,41,0,0,0,0,0,0,0,0,43,18,134,49,28,0,1,0,0,7,0,12,3.64,0,0,0,1,0,4,21,0.22,0,0,1,0,0,4,1,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
3,Panthers,Charlie Staines,2,Winger,80,4,1,0,0,0,0,0,0,37,12,77,13,16,1,0,0,0,3,0,10,3.4,1,3,0,1,0,5,17,0.42,0.5,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
3,Panthers,Paul Momirovski,3,Centre,80,0,0,0,0,0,0,0,0,38,12,98,0,29,0,1,1,0,1,0,10,3.52,0,0,0,2,0,4,15,0.33,0.895,17,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
3,Panthers,Stephen Crichton,4,Centre,80,4,0,2,2,0,0.6667000000000001,0,0,31,12,111,0,33,1,0,0,0,1,1,10,3.65,0,0,0,1,0,8,18,0.67,0.867,13,2,0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,80,0
3,Panthers,Brian To'o,5,Winger,80,0,0,0,0,0,0,0,0,42,26,224,11,78,1,0,0,0,5,1,22,3.48,0,0,0,0,0,1,30,0.04,1.0,2,0,0,0,2,2,26,0,0,2,0,0,0,0,2,2,1,0,0,0,0,0,0,80,0
3,Panthers,Jarome Luai,6,Five-Eighth,80,0,0,0,0,0,0,0,0,41,13,69,0,2,0,0,0,0,0,1,1,3.28,0,0,0,2,2,44,52,3.38,0.903,28,2,1,0,0,6,119,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0
3,Panthers,Moses Leota,8,Prop,35,0,0,0,0,0,0,0,0,32,4,35,0,9,0,0,0,0,0,4,4,3.3,0,0,0,0,0,1,5,0.25,0.943,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12
3,Panthers,Mitch Kenny,9,Hooker,80,0,0,0,0,0,0,0,0,49,3,29,0,6,0,0,0,0,0,0,2,4.24,3,29,0,1,0,129,133,43,0.914,53,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,80,0
3,Panthers,James Fisher-Harris,10,Prop,51,0,0,0,0,0,0,0,0,37,12,97,0,26,0,0,0,0,1,9,8,3.3,0,0,0,0,0,6,14,0.5,0.9059999999999999,29,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21
3,Panthers,Viliame Kikau,11,2nd,60,0,0,0,0,0,0,0,0,50,12,129,0,50,0,0,0,0,3,12,11,3.34,0,0,0,1,0,2,14,0.17,0.867,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,26
