,,,,,,,,,,
,,,,,,,,,,
,ROUND 1,,,,,,,,,0
,,ROX,,v,,LMB,Elysium Fields,,,0
,,PUN,,v,,BWS,TAB Stadium,,,0
,,DIN,,v,,XIII,Lillyfield Rectangle,,,0
,,BOX,,v,,COU,Fragile Stadium,,,0
,,MIN,,v,,CBT,Lithgow Stadium,,,0
,,DRU,,v,,WOL,Crack-Den Stadium,,,0
,,MON,,v,,GUN,Monster Arena,,,0
,,,,,,,,,,0
,ROUND 2,,,,,,,,,
,,GUN,,v,,COU,The Armoury,,,0
,,MON,,v,,DRU,Monster Arena,,,0
,,CBT,,v,,WOL,TWU Stadium,,,0
,,MIN,,v,,PUN,Lithgow Stadium,,,0
,,XIII,,v,,BWS,Hell,,,0
,,DIN,,v,,ROX,Lillyfield Rectangle,,,0
,,BOX,,v,,LMB,Fragile Stadium,,,0
,,,,,,,,,,0
,ROUND 3,,,,,,,,,0
,,ROX,,v,,MIN,Elysium Fields,,,0
,,COU,,v,,DRU,The Cage of Pain,,,0
,,PUN,,v,,MON,TAB Stadium,,,0
,,WOL,,v,,XIII,Full Moon Stadium,,,0
,,GUN,,v,,CBT,The Armoury,,,0
,,BWS,,v,,BOX,Bondi Beach Pavilion,,,0
,,LMB,,v,,DIN,The Meadow,,,0
,,,,,,,,,,0
,ROUND 4,,,,,,,,,0
,,CBT,,v,,COU,TWU Stadium,,,0
,,DRU,,v,,PUN,Crack-Den Stadium,,,0
,,XIII,,v,,GUN,Hell,,,0
,,MON,,v,,ROX,Monster Arena,,,0
,,BOX,,v,,WOL,Fragile Stadium,,,0
,,MIN,,v,,LMB,Lithgow Stadium,,,0
,,DIN,,v,,BWS,Lillyfield Rectangle,,,0
,,,,,,,,,,0
,ROUND 5,,,,,,,,,0
,,BWS,,v,,MIN,Bondi Beach Pavilion,,,0
,,CBT,,v,,XIII,TWU Stadium,,,0
,,ROX,,v,,DRU,Elysium Fields,,,0
,,GUN,,v,,BOX,The Armoury,,,0
,,LMB,,v,,MON,The Meadow,,,0
,,WOL,,v,,DIN,Full Moon Stadium,,,0
,,COU,,v,,PUN,The Cage of Pain,,,0
,,,,,,,,,,0
,ROUND 6,,,,,,,,,0
,,BOX,,v,,CBT,Fragile Stadium,,,0
,,PUN,,v,,ROX,TAB Stadium,,,0
,,MON,,v,,BWS,Monster Arena,,,0
,,DRU,,v,,LMB,Crack-Den Stadium,,,0
,,DIN,,v,,GUN,Lillyfield Rectangle,,,0
,,XIII,,v,,COU,Hell,,,0
,,MIN,,v,,WOL,Lithgow Stadium,,,0
,,,,,,,,,,0
,ROUND 7,,,,,,,,,0
,,PUN,,v,,LMB,TAB Stadium,,,0
,,MON,,v,,WOL,Monster Arena,,,0
,,DIN,,v,,CBT,Lillyfield Rectangle,,,0
,,ROX,,v,,COU,Elysium Fields,,,0
,,DRU,,v,,BWS,Crack-Den Stadium,,,0
,,MIN,,v,,GUN,Lithgow Stadium,,,0
,,BOX,,v,,XIII,Fragile Stadium,,,0
,,,,,,,,,,0
,ROUND 8,,,,,,,,,0
,,XIII,,v,,DIN,Hell,,,0
,,LMB,,v,,ROX,The Meadow,,,0
,,COU,,v,,BOX,The Cage of Pain,,,0
,,BWS,,v,,PUN,Bondi Beach Pavilion,,,0
,,CBT,,v,,MIN,TWU Stadium,,,0
,,WOL,,v,,DRU,Full Moon Stadium,,,0
,,GUN,,v,,MON,The Armoury,,,0
,,,,,,,,,,0
,ROUND 9,,,,,,,,,0
,,PUN,,v,,WOL,TAB Stadium,,,0
,,LMB,,v,,COU,The Meadow,,,0
,,ROX,,v,,BWS,Elysium Fields,,,0
,,MIN,,v,,XIII,Lithgow Stadium,,,0
,,DIN,,v,,BOX,Lillyfield Rectangle,,,0
,,MON,,v,,CBT,Monster Arena,,,0
,,DRU,,v,,GUN,Crack-Den Stadium,,,0
,,,,,,,,,,0
,ROUND 10,,,,,,,,,0
,,GUN,,v,,PUN,The Armoury,,,0
,,BWS,,v,,LMB,Bondi Beach Pavilion,,,0
,,BOX,,v,,MIN,Fragile Stadium,,,0
,,CBT,,v,,DRU,TWU Stadium,,,0
,,XIII,,v,,MON,Hell,,,0
,,COU,,v,,DIN,The Cage of Pain,,,0
,,WOL,,v,,ROX,Full Moon Stadium,,,0
,,,,,,,,,,0
,ROUND 11,,,,,,,,,0
,,MON,,v,,BOX,Monster Arena,,,0
,,MIN,,v,,DIN,Lithgow Stadium,,,0
,,LMB,,v,,WOL,The Meadow,,,0
,,PUN,,v,,CBT,TAB Stadium,,,0
