pk,sk,data,player_id,player_name,search_name,nrl_club,position,position2
PLAYER#100180,PROFILE,TEAM#None,100180,Young TONUMAIPEA,young tonumaipea,Titans,Back,
PLAYER#100415,PROFILE,TEAM#None,100415,Kelma TUILAGI,kelma tuilagi,Storm,Forward,
PLAYER#100331,PROFILE,TEAM#None,100331,Darby MEDLYN,darby medlyn,Raiders,Forward,
PLAYER#100138,PROFILE,TEAM#None,100138,Phillip SAMI,phillip sami,Titans,Back,
PLAYER#100337,PROFILE,TEAM#None,100337,Francis MOLO,francis molo,Cowboys,Forward,
PLAYER#100489,PROFILE,TEAM#None,100489,Drew HUTCHISON,drew hutchison,Roosters,Playmaker,
PLAYER#100509,PROFILE,TEAM#None,100509,Jarome LUAI,jarome luai,Panthers,Playmaker,
PLAYER#100075,PROFILE,TEAM#None,100075,Semisi KIOA,semisi kioa,Sea Eagles,Back,
PLAYER#100259,PROFILE,TEAM#None,100259,Tyson FRIZELL,tyson frizell,Dragons,Forward,
PLAYER#100436,PROFILE,TEAM#None,100436,Hudson YOUNG,hudson young,Raiders,Forward,
PLAYER#100465,PROFILE,TEAM#None,100465,Tom DEARDEN,tom dearden,Broncos,Playmaker,
PLAYER#100573,PROFILE,TEAM#None,100573,Isaac Lumelume,isaac lumelume,Storm,Back,
PLAYER#100318,PROFILE,TEAM#None,100318,Matthew LODGE,matthew lodge,Broncos,Forward,
PLAYER#100393,PROFILE,TEAM#None,100393,Sauaso SUE,sauaso sue,Bulldogs,Forward,
PLAYER#100141,PROFILE,TEAM#None,100141,Ioane SEIULI,ioane seiuli,Titans,Back,
PLAYER#100339,PROFILE,TEAM#None,100339,Luca MORETTI,luca moretti,Roosters,Forward,
PLAYER#100399,PROFILE,TEAM#None,100399,Siosiua TAUKEIAHO,siosiua taukeiaho,Roosters,Forward,
PLAYER#100092,PROFILE,TEAM#None,100092,Moses MBYE,moses mbye,Wests Tigers,Back,
PLAYER#100083,PROFILE,TEAM#None,100083,Zac LOMAX,zac lomax,Dragons,Back,
PLAYER#100062,PROFILE,TEAM#None,100062,Matt IKUVALU,matt ikuvalu,Roosters,Back,
PLAYER#100401,PROFILE,TEAM#None,100401,Jamayne TAUNOA-BROWN,jamayne taunoa-brown,Warriors,Forward,
PLAYER#100317,PROFILE,TEAM#None,100317,Isaac LIU,isaac liu,Roosters,Forward,
PLAYER#100249,PROFILE,TEAM#None,100249,Daniel FIFITA,daniel fifita,Roosters,Forward,
PLAYER#100127,PROFILE,TEAM#None,100127,Hayze PERHAM,hayze perham,Warriors,Back,
PLAYER#100027,PROFILE,TEAM#None,100027,Haze DUNSTER,haze dunster,Eels,Back,
PLAYER#100292,PROFILE,TEAM#None,100292,Brodie JONES,brodie jones,Knights,Forward,
PLAYER#100508,PROFILE,TEAM#None,100508,Hayden LOMAX,hayden lomax,Dragons,Playmaker,
PLAYER#100368,PROFILE,TEAM#None,100368,Toby RUDOLF,toby rudolf,Sharks,Forward,
PLAYER#100087,PROFILE,TEAM#None,100087,Joseph MANU,joseph manu,Roosters,Back,
PLAYER#100307,PROFILE,TEAM#None,100307,Leilani LATU,leilani latu,None,Forward,
PLAYER#100190,PROFILE,TEAM#None,100190,Nelson ASOFA-SOLOMONA,nelson asofa-solomona,Storm,Forward,
PLAYER#100096,PROFILE,TEAM#None,100096,Abbas MISKI,abbas miski,Sea Eagles,Back,
PLAYER#100129,PROFILE,TEAM#None,100129,Kalyn PONGA,kalyn ponga,Knights,Back,
PLAYER#100228,PROFILE,TEAM#None,100228,Angus CRICHTON,angus crichton,Roosters,Forward,
PLAYER#100379,PROFILE,TEAM#None,100379,Tariq SIMS,tariq sims,Dragons,Forward,
PLAYER#100281,PROFILE,TEAM#None,100281,Peter HOLA,peter hola,Cowboys,Forward,
PLAYER#100544,PROFILE,TEAM#None,100544,Toby SEXTON,toby sexton,Titans,Playmaker,
PLAYER#100358,PROFILE,TEAM#None,100358,Junior PAULO,junior paulo,Eels,Forward,
PLAYER#100215,PROFILE,TEAM#None,100215,Kurt CAPEWELL,kurt capewell,Panthers,Forward,
PLAYER#100103,PROFILE,TEAM#None,100103,Matt MOYLAN,matt moylan,Sharks,Back,
PLAYER#100248,PROFILE,TEAM#None,100248,Andrew FIFITA,andrew fifita,Sharks,Forward,
PLAYER#100341,PROFILE,TEAM#None,100341,Cameron MURRAY,cameron murray,Rabbitohs,Forward,
PLAYER#100170,PROFILE,TEAM#None,100170,Semi VALEMEI,semi valemei,Raiders,Back,
PLAYER#100538,PROFILE,TEAM#None,100538,Tyrone ROBERTS,tyrone roberts,Titans,Playmaker,
PLAYER#100419,PROFILE,TEAM#None,100419,Daniel VASQUEZ,daniel vasquez,Sharks,Forward,
PLAYER#100461,PROFILE,TEAM#None,100461,Phoenix CROSSLAND,phoenix crossland,Knights,Playmaker,
PLAYER#100108,PROFILE,TEAM#None,100108,Charnze NICOLL-KLOKSTAD,charnze nicoll-klokstad,Raiders,Back,
PLAYER#100500,PROFILE,TEAM#None,100500,Apisai KOROISAU,apisai koroisau,Panthers,Playmaker,
PLAYER#100493,PROFILE,TEAM#None,100493,Shaun JOHNSON,shaun johnson,Sharks,Playmaker,
PLAYER#100390,PROFILE,TEAM#None,100390,Ray STONE,ray stone,Eels,Forward,
PLAYER#100505,PROFILE,TEAM#None,100505,Lachlan LEWIS,lachlan lewis,Bulldogs,Playmaker,
PLAYER#100389,PROFILE,TEAM#None,100389,Jack STOCKWELL,jack stockwell,Titans,Forward,
PLAYER#100527,PROFILE,TEAM#None,100527,Sean O'SULLIVAN,sean o'sullivan,Broncos,Playmaker,
PLAYER#100512,PROFILE,TEAM#None,100512,Reed MAHONEY,reed mahoney,Eels,Playmaker,
PLAYER#100028,PROFILE,TEAM#None,100028,Sandor EARL,sandor earl,Storm,Back,
PLAYER#100537,PROFILE,TEAM#None,100537,Nathaniel ROACHE,nathaniel roache,Warriors,Playmaker,
PLAYER#100467,PROFILE,TEAM#None,100467,Wayde EGAN,wayde egan,Warriors,Playmaker,
PLAYER#100038,PROFILE,TEAM#None,100038,David FUSITU'A,david fusitu'a,Warriors,Back,
PLAYER#100374,PROFILE,TEAM#None,100374,Darryn SCHONIG,darryn schonig,Storm,Forward,
PLAYER#100475,PROFILE,TEAM#None,100475,Jacob GAGAI,jacob gagai,Rabbitohs,Playmaker,
PLAYER#100023,PROFILE,TEAM#None,100023,Adam DOUEIHI,adam doueihi,Wests Tigers,Back,
PLAYER#100274,PROFILE,TEAM#None,100274,Braden HAMLIN-UELE,braden hamlin-uele,Sharks,Forward,
PLAYER#100362,PROFILE,TEAM#None,100362,Pride PETTERSON ROBATI,pride petterson robati,Broncos,Forward,
PLAYER#100139,PROFILE,TEAM#None,100139,Shaun SAUNI-ESAU,shaun sauni-esau,Dragons,Back,
PLAYER#100122,PROFILE,TEAM#None,100122,Jaxson PAULO,jaxson paulo,Rabbitohs,Back,
PLAYER#100093,PROFILE,TEAM#None,100093,Brayden MCGRADY,brayden mcgrady,Panthers,Back,
PLAYER#100477,PROFILE,TEAM#None,100477,Craig GARVEY,craig garvey,Roosters,Playmaker,
PLAYER#100552,PROFILE,TEAM#None,100552,Ashley TAYLOR,ashley taylor,Titans,Playmaker,
PLAYER#100036,PROFILE,TEAM#None,100036,Jackson FERRIS,jackson ferris,Sharks,Back,
PLAYER#100015,PROFILE,TEAM#None,100015,Xavier COATES,xavier coates,Broncos,Back,
PLAYER#100494,PROFILE,TEAM#None,100494,Sione KATOA,sione katoa,Bulldogs,Playmaker,
PLAYER#100350,PROFILE,TEAM#None,100350,Haumole OLAKAUATU,haumole olakauatu,Sea Eagles,Forward,
PLAYER#100058,PROFILE,TEAM#None,100058,Will HOPOATE,will hopoate,Bulldogs,Back,
PLAYER#100198,PROFILE,TEAM#None,100198,Adam BLAIR,adam blair,Warriors,Forward,
PLAYER#100072,PROFILE,TEAM#None,100072,Richard KENNAR,richard kennar,Broncos,Back,
PLAYER#100009,PROFILE,TEAM#None,100009,Bradman BEST,bradman best,Knights,Back,
PLAYER#100223,PROFILE,TEAM#None,100223,Lindsay COLLINS,lindsay collins,Roosters,Forward,
PLAYER#100104,PROFILE,TEAM#None,100104,Ronaldo MULITALO,ronaldo mulitalo,Sharks,Back,
PLAYER#100557,PROFILE,TEAM#None,100557,Paul TURNER,paul turner,Warriors,Playmaker,
PLAYER#100128,PROFILE,TEAM#None,100128,Adam POMPEY,adam pompey,Warriors,Back,
PLAYER#100571,PROFILE,TEAM#None,100571,Matt Doorey,matt doorey,Bulldogs,Forward,
PLAYER#100065,PROFILE,TEAM#None,100065,Michael JENNINGS,michael jennings,Eels,Back,
PLAYER#100080,PROFILE,TEAM#None,100080,Joseph LEILUA,joseph leilua,Wests Tigers,Back,
PLAYER#100069,PROFILE,TEAM#None,100069,Sione KATOA,sione katoa,Sharks,Back,
PLAYER#100375,PROFILE,TEAM#None,100375,Hame SELE,hame sele,Rabbitohs,Forward,
PLAYER#100277,PROFILE,TEAM#None,100277,Tohu HARRIS,tohu harris,Warriors,Forward,
PLAYER#100276,PROFILE,TEAM#None,100276,Shannon HARRIS,shannon harris,Panthers,Forward,
PLAYER#100119,PROFILE,TEAM#None,100119,Ryan PAPENHUYZEN,ryan papenhuyzen,Storm,Back,
PLAYER#100288,PROFILE,TEAM#None,100288,Ryan JAMES,ryan james,Titans,Forward,
PLAYER#100169,PROFILE,TEAM#None,100169,Daniel TUPOU,daniel tupou,Roosters,Back,
PLAYER#100011,PROFILE,TEAM#None,100011,Waqa BLAKE,waqa blake,Eels,Back,
PLAYER#100523,PROFILE,TEAM#None,100523,Darren NICHOLLS,darren nicholls,Dragons,Playmaker,
PLAYER#100279,PROFILE,TEAM#None,100279,Jack HETHERINGTON,jack hetherington,Panthers,Forward,
PLAYER#100313,PROFILE,TEAM#None,100313,Spencer LENIU,spencer leniu,Panthers,Forward,
PLAYER#100540,PROFILE,TEAM#None,100540,Jaeman SALMON,jaeman salmon,Eels,Playmaker,
PLAYER#100381,PROFILE,TEAM#None,100381,Bayley SIRONEN,bayley sironen,Rabbitohs,Forward,
