,List Sort,,Score Sort,,Player,NRL Team,XRL Team,Position 1,Position 2,Credits,Captaincy
B,B1,B,B1,"ADDO-CARR, Josh ",Josh ADDO-CARR,Melbourne Storm,,Back,,,
B,B2,B,B2,"AEKINS, Caleb ",Caleb AEKINS,Canberra Raiders,,Back,,,
B,B3,B,B3,"AITKEN, Euan ",Euan AITKEN,New Zealand Warriors,,Back,,,
B,B4,B,B4,"ALLAN, Corey ",Corey ALLAN,Canterbury Bulldogs,,Back,,,
B,B5,B,B5,"ARTHARS, Jesse ",Jesse ARTHARS,Brisbane Broncos,,Back,,,
B,B6,B,B6,"BERRY, Rocco ",Rocco BERRY,New Zealand Warriors,,Back,,,
B,B7,B,B7,"BEST, Bradman ",Bradman BEST,Newcastle Knights,,Back,,,
B,B8,B,B8,"BIRD, Jack ",Jack BIRD,St George Illawarra Dragons,,Back,,,
B,B9,B,B9,"BLAKE, Waqa ",Waqa BLAKE,Parramatta Eels,,Back,,,
B,B10,B,B10,"BOWEN, Javid ",Javid BOWEN,North Queensland Cowboys,,Back,,,
B,B11,B,B11,"BRADLEY, Kane ",Kane BRADLEY,North Queensland Cowboys,,Back,,,
B,B12,B,B12,"BRIMSON, Alexander ",Alexander BRIMSON,Gold Coast Titans,,Back,,,
B,B13,B,B13,"BURNS, Braidon ",Braidon BURNS,South Sydney Rabbitohs,,Back,,,
B,B14,B,B14,"CINI, Zachary ",Zachary CINI,Wests Tigers,,Back,,,
B,B15,B,B15,"COATES, Xavier ",Xavier COATES,Brisbane Broncos,,Back,,,
B,B16,B,B16,"COOK, Adam ",Adam COOK,Canberra Raiders,,Back,,,
B,B17,B,B17,"COPLEY, Dale ",Dale COPLEY,Brisbane Broncos,,Back,,,
B,B18,B,B18,"COTRIC, Nick ",Nick COTRIC,Canterbury Bulldogs,,Back,,,
B,B19,B,B19,"CRICHTON, Christian ",Christian CRICHTON,Canterbury Bulldogs,,Back,,,
B,B20,B,B20,"CRICHTON, Stephen ",Stephen CRICHTON,Penrith Panthers,,Back,,,
B,B21,B,B21,"CROKER, Jarrod ",Jarrod CROKER,Canberra Raiders,,Back,,,
B,B22,B,B22,"DON, Anthony ",Anthony DON,Gold Coast Titans,,Back,,,
B,B23,B,B23,"DOUEIHI, Adam ",Adam DOUEIHI,Wests Tigers,,Back,,,
B,B24,B,B24,"DUFTY, Matthew ",Matthew DUFTY,St George Illawarra Dragons,,Back,,,
B,B25,B,B25,"DUGAN, Josh ",Josh DUGAN,Cronulla Sharks,,Back,,,
B,B26,B,B26,"DUNSTER, Haze ",Haze DUNSTER,Parramatta Eels,,Back,,,
B,B27,B,B27,"EDWARDS, Dylan ",Dylan EDWARDS,Penrith Panthers,,Back,,,
B,B28,B,B28,"FARNWORTH, Herbie ",Herbie FARNWORTH,Brisbane Broncos,,Back,,,
B,B29,B,B29,"FEAGAI, Mathew ",Mathew FEAGAI,St George Illawarra Dragons,,Back,,,
B,B30,B,B30,"FEAGAI, Max ",Max FEAGAI,St George Illawarra Dragons,,Back,,,
B,B31,B,B31,"FELDT, Kyle ",Kyle FELDT,North Queensland Cowboys,,Back,,,
B,B32,B,B32,"FERGUSON, Blake ",Blake FERGUSON,Parramatta Eels,,Back,,,
B,B33,B,B33,"FUNA, Tevita ",Tevita FUNA,Manly Sea Eagles,,Back,,,
B,B34,B,B34,"FUSITU'A, David ",David FUSITU'A,New Zealand Warriors,,Back,,,
B,B35,B,B35,"GAGAI, Dane ",Dane GAGAI,South Sydney Rabbitohs,,Back,,,
