Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
22,Roosters,James Tedesco,1,Fullback,80,8,2,0,0,0,0,0,73,26,260,71,68,1,1,0,0,6,3,21,3.49,1,7,0,2,6,19,45,0.73,0.7140000000000001,5,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,80,0
22,Roosters,Daniel Tupou,2,Winger,80,0,0,0,0,0,0,0,33,17,188,35,64,0,0,0,0,6,1,13,2.75,0,0,0,3,0,3,22,0.18,0.25,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,80,0
22,Roosters,Josh Morris,3,Centre,80,0,0,0,0,0,0,0,36,12,151,0,41,2,0,1,0,0,0,8,2.6,0,0,0,1,1,3,16,0.25,0.8,12,2,1,0,1,2,22,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,80,0
22,Roosters,Joseph Manu,4,Centre,80,4,1,0,0,0,0,0,74,20,195,0,52,1,1,0,0,7,2,13,2.84,2,11,0,1,1,6,25,0.3,0.9570000000000001,22,0,1,0,0,1,5,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,80,0
22,Roosters,Brett Morris,5,Winger,80,0,0,0,0,0,0,0,28,16,135,38,33,1,0,0,0,3,4,18,3.3,0,0,0,0,0,3,21,0.19,0.625,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
22,Roosters,Luke Keary,6,Five-Eighth,66,0,0,0,0,0,0,0,40,10,91,0,11,0,1,0,0,1,0,2,3.16,0,0,0,2,4,30,45,3,0.8,12,2,1,0,0,11,294,1,6,0,0,0,1,1,0,0,0,1,0,0,0,0,5,60
22,Roosters,Kyle Flanagan,7,Halfback,80,6,0,3,3,0,1.0,0,43,3,13,0,2,0,0,0,0,0,0,2,4.18,0,0,0,0,2,31,40,10.33,0.9059999999999999,29,3,0,0,1,7,252,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
22,Roosters,Jared Waerea-Hargreaves,8,Prop,45,0,0,0,0,0,0,0,48,14,147,21,57,0,0,0,0,1,12,12,3.37,0,0,0,2,2,2,16,0.14,0.867,39,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,29,15
22,Roosters,Jake Friend,9,Hooker,80,0,0,0,0,0,0,0,56,3,20,0,5,0,0,0,0,0,2,2,3.24,1,0,0,0,2,125,124,41.67,0.884,61,5,3,0,0,2,66,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,80,0
22,Roosters,Siosiua Taukeiaho,10,Prop,32,0,0,0,0,0,0,0,38,9,97,0,42,0,0,0,0,0,9,8,3.53,0,0,0,1,1,2,12,0.22,0.9690000000000001,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,31,0
