Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
24,Panthers,Dylan Edwards,1,Fullback,80,0,0,0,0,0,0,0,23,16,165,118,38,0,0,0,0,3,0,14,4.38,0,0,0,2,0,18,36,1.13,0.25,1,2,1,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,80,0
24,Panthers,Josh Mansour,2,Winger,80,4,1,0,0,0,0,0,42,22,156,11,59,1,0,0,0,3,3,19,3.2,1,11,0,0,2,0,22,0,0.625,5,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80,0
24,Panthers,Brent Naden,3,Interchange,32,0,0,0,0,0,0,0,25,7,76,0,30,0,1,0,0,4,0,6,3.71,0,0,0,1,0,2,7,0.29,0.857,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,32,0
24,Panthers,Stephen Crichton,4,Centre,80,4,1,0,0,0,0,0,38,15,136,0,62,1,0,0,0,2,2,9,4.15,1,10,0,3,1,4,18,0.27,0.818,9,1,1,0,0,1,3,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,80,0
24,Panthers,Brian To'o,5,Winger,80,4,1,0,0,0,0,0,30,15,114,0,54,0,0,0,0,1,1,12,3.33,0,0,0,2,0,3,19,0.2,0.8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
24,Panthers,Jarome Luai,6,Five-Eighth,80,0,0,0,0,0,0,0,44,10,66,0,1,0,1,1,0,1,0,0,0,0,0,0,3,5,47,52,4.7,0.8079999999999999,21,4,1,0,0,2,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
24,Panthers,Nathan Cleary,7,Halfback,80,8,1,2,3,0,0.6667000000000001,0,78,15,105,0,19,2,0,0,0,7,0,5,3.04,0,0,0,2,10,43,62,2.87,0.9440000000000001,17,1,0,0,0,11,249,0,2,1,0,0,2,0,2,1,0,0,0,0,0,0,80,0
24,Panthers,James Tamou,8,Prop,35,0,0,0,0,0,0,0,35,9,78,26,33,0,0,0,0,2,7,9,3.76,0,0,0,0,0,1,10,0.11,0.9570000000000001,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9
24,Panthers,Apisai Koroisau,9,Hooker,80,0,0,0,0,0,0,0,49,8,32,0,19,0,0,0,0,0,2,5,3.99,5,27,0,0,8,111,117,13.88,0.9440000000000001,51,2,1,0,0,1,25,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,80,0
24,Panthers,James Fisher-Harris,10,Prop,53,0,0,0,0,0,0,0,41,18,137,0,47,0,0,0,0,1,13,11,3.53,1,11,0,0,1,7,22,0.39,0.917,33,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,29,24
