Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
14,Roosters,James Tedesco,1,Fullback,80,0,0,0,0,0,0,0,52,25,234,62,68,0,0,0,0,8,0,15,3.34,2,19,0,3,5,13,33,0.52,0.6,3,1,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,80,0
14,Roosters,Josh Morris,3,Centre,80,0,0,0,0,0,0,0,24,9,81,7,30,0,0,0,0,3,1,7,2.33,0,0,0,0,0,6,17,0.67,0.81,17,2,2,0,1,1,21,0,1,0,0,0,0,0,3,2,0,1,0,0,0,0,80,0
14,Roosters,Joseph Manu,4,Centre,80,0,0,0,0,0,0,0,30,12,119,0,36,0,0,0,0,4,0,10,3.69,0,0,0,0,6,4,19,0.33,0.652,15,3,5,0,0,3,45,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,80,0
14,Roosters,Matt Ikuvalu,5,Winger,80,0,0,0,0,0,0,0,51,21,226,75,99,0,0,0,0,9,2,17,3.74,0,0,0,0,0,4,25,0.19,0.8,8,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,80,0
14,Roosters,Luke Keary,6,Five-Eighth,62,0,0,0,0,0,0,0,16,6,51,0,6,0,0,0,0,0,0,2,5.76,0,0,0,0,1,27,36,4.5,0.737,14,4,1,0,0,7,157,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,62,0
14,Roosters,Lachlan Lam,7,Halfback,28,0,0,0,0,0,0,0,26,3,26,0,5,0,0,0,0,1,0,0,0,0,0,0,1,1,7,11,2.33,0.8420000000000001,16,1,2,0,0,3,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
14,Roosters,Lindsay Collins,8,Interchange,53,0,0,0,0,0,0,0,47,12,108,17,59,0,0,0,0,1,11,8,3.08,0,0,0,1,1,2,14,0.17,0.905,38,1,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,53,0
14,Roosters,Jake Friend,9,Hooker,80,0,0,0,0,0,0,0,55,3,32,0,3,0,0,0,0,0,0,1,2s,3,32,0,0,1,119,118,39.67,0.909,60,3,3,0,0,1,9,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,80,0
14,Roosters,Siosiua Taukeiaho,10,Prop,60,2,0,1,1,0,1.0,0,51,15,132,9,72,0,0,0,0,5,12,12,3.43,1,10,0,0,0,5,21,0.33,0.8859999999999999,31,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,33,27
14,Roosters,Sitili Tupouniua,11,2nd,80,0,0,0,0,0,0,0,38,9,67,0,26,0,0,0,0,0,9,9,3.84,0,0,0,0,1,4,14,0.44,0.889,40,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
14,Roosters,Mitchell Aubusson,12,2nd,35,0,0,0,0,0,0,0,15,4,38,0,17,0,0,0,0,0,4,4,3.15,0,0,0,0,0,0,4,0,0.8420000000000001,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
14,Roosters,Isaac Liu,13,Lock,71,0,0,0,0,0,0,0,40,13,109,0,50,0,0,0,0,0,12,12,2.75,0,0,0,0,3,8,20,0.62,0.878,36,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,17
14,Roosters,Drew Hutchison,14,Interchange,52,0,0,0,0,0,0,0,41,6,30,0,10,0,1,1,0,0,0,2,2.82,0,0,0,1,0,19,25,3.17,0.9329999999999999,28,2,0,0,0,3,101,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,52,0
